rm_name,rm_type,lat,lng,source,beds,alt_name
Shree Chakra Devi Pra Vi,school,27.8641,84.9766,OSM infrastructure,,
Shree Jana Kalika Pra Vi,school,27.8631,84.9829,OSM infrastructure,,
Shree Pateni Ni Ma Vi,school,27.8819,84.9542,OSM infrastructure,,
Shree Jal Devi Ni Ma Vi,school,27.9079,84.9711,OSM infrastructure,,
Shree Shiwalaya Pra V,school,27.8294,84.9248,OSM infrastructure,,
Shree Dhading Ni Ma V,school,27.8398,84.9201,OSM infrastructure,,
Shree Saraswati Ma V,school,27.8207,84.9977,OSM infrastructure,,
Shri Belinitar Pra Vi,school,27.8148,84.9443,OSM infrastructure,,
Shree Amarkhu Ma V,school,27.7327,85.0485,OSM infrastructure,,
Shree Bhakta Bachala Pra Vi,school,27.8292,84.9469,OSM infrastructure,,
चालान्तर निम्न माध्यमिक विद्यालय,school,27.7267,85.4142,OSM infrastructure,,
श्री भैरवी उच्च मा. वि.,school,27.8602,84.9235,OSM infrastructure,,
Shree Jal Kanya Pra Vi,school,27.8526,84.9376,OSM infrastructure,,
Shree Bhairabi Pra Vi,school,27.8720,84.9045,OSM infrastructure,,
Shree Chakradevi Pra Vi,school,27.8562,84.9491,OSM infrastructure,,
Shree kalika Ni Ma Vi,school,27.8652,84.9564,OSM infrastructure,,
Shree Manakamana Pra Vi,school,27.8674,84.9701,OSM infrastructure,,
Shree Annapurna Pra Vi,school,27.8528,84.9974,OSM infrastructure,,
Shree Arunodaya Pra Vi,school,27.8490,84.9638,OSM infrastructure,,
Shree Bageshwori Pra Vi,school,27.8749,84.9721,OSM infrastructure,,
Shree Bhairabi Pra Vi,school,27.8288,85.0051,OSM infrastructure,,
Shri Latidevi Ni Ma Vi,school,27.7519,85.0133,OSM infrastructure,,
Shri Setidevi Pra Vi,school,27.7618,85.0253,OSM infrastructure,,
Shri Panchakanya Ni Ma Vi,school,27.7639,85.0341,OSM infrastructure,,
Shree Bhumeswori Pra Vi,school,27.7421,85.0338,OSM infrastructure,,
Shree Tinkanya Pra Vi,school,27.8273,84.9585,OSM infrastructure,,
Shree kalleri Ma Vi,school,27.8379,84.9520,OSM infrastructure,,
Shri Mahakali Pra V,school,27.7383,85.0116,OSM infrastructure,,
Shree Simaldanda Balbikash Kendra,school,27.8177,84.9347,OSM infrastructure,,
Shree Jalpa Devi Pra Vi,school,27.8310,84.9950,OSM infrastructure,,
Shri Bandevi Pra Vi,school,27.7744,85.0330,OSM infrastructure,,
Shri Lila Kali Ma V,school,27.7491,85.0302,OSM infrastructure,,
ल्याण्डमार्क कन्सलटेन्सी,school,27.7031,85.3229,OSM infrastructure,,
श्री थुम्किदादा नि मा वि,school,27.7000,84.9410,OSM infrastructure,,
श्री सप्त कन्या प्रा वी,school,27.7140,84.9631,OSM infrastructure,,
श्री बागेश्वरी प्रा छैठौं,school,27.7073,84.9381,OSM infrastructure,,
Shree Panchakanya Ni Ma Vi,school,27.7717,84.9244,OSM infrastructure,,
Shri Ganesthan Pra Vi,school,27.7615,84.9315,OSM infrastructure,,
Shri Raktakali PraV,school,27.7465,84.9265,OSM infrastructure,,
Shri Rithuka Devi Pra V,school,27.7428,84.9376,OSM infrastructure,,
Shri Ritthabote Pra V,school,27.7347,84.9458,OSM infrastructure,,
Shri Sitadevi Pra V,school,27.7550,84.9483,OSM infrastructure,,
Shree Bhairabi Pra V,school,27.7830,84.9362,OSM infrastructure,,
Shri Jalakanya Ni Ma V,school,27.7617,84.9772,OSM infrastructure,,
Shri Thantichaur Pra V,school,27.7654,84.9466,OSM infrastructure,,
Shri Bandre Pra V,school,27.7636,85.0111,OSM infrastructure,,
Shree Balkumari Ni Ma V,school,27.7870,85.0060,OSM infrastructure,,
Shree Bageswori Pra Vi,school,27.7867,84.9554,OSM infrastructure,,
Shree Amaleshwor Pra V,school,27.7899,84.9721,OSM infrastructure,,
Shree Bhanu Bhakta Ma Vi,school,27.7880,84.9188,OSM infrastructure,,
Shri Indrayani Ni Ma Vi,school,27.8050,84.9439,OSM infrastructure,,
Shri Sarashwati Pra Vi,school,27.7989,84.9023,OSM infrastructure,,
Shree Bagh Sundar Pra Vi,school,27.7876,84.9069,OSM infrastructure,,
