dt,lon,lat,percent_change
2026-08-26_1600,85.177002,27.790491,-41.6
2026-08-26_1600,85.001221,27.751607,11.12
2026-08-26_1600,85.484619,27.771051,11.6
2026-08-26_1600,85.155029,27.926474,-83.67
2026-08-26_1600,85.177002,27.71271,-11.1
2026-08-26_1600,85.352783,27.907058,-13.8
2026-08-26_1600,85.045166,27.73216,10.51
2026-08-26_1600,85.220947,27.84879,-24.07
2026-08-26_1600,85.550537,27.809927,10.41
2026-08-26_1600,85.286865,27.84879,-35.56
2026-08-26_1600,85.286865,27.907058,-28.02
2026-08-26_1600,85.155029,27.907058,-59.69
2026-08-26_1600,85.57251,27.790491,20.43
2026-08-26_1600,85.023193,27.82936,-61.08
2026-08-26_1600,85.6604,27.9847,52.78
2026-08-26_1600,85.726318,27.751607,11.92
2026-08-26_1600,85.638428,27.771051,29.18
2026-08-26_1600,85.352783,27.82936,59.02
2026-08-26_1600,85.792236,27.790491,18.44
2026-08-26_1600,85.682373,27.71271,24.63
2026-08-26_1600,85.264893,27.926474,-55.07
2026-08-26_1600,85.220947,27.887639,-26.54
2026-08-26_1600,85.111084,27.887639,-75.85
2026-08-26_1600,84.91333,27.790491,-56.79
2026-08-26_1600,85.792236,27.73216,11.29
2026-08-26_1600,85.220947,27.868216,-20.6
2026-08-26_1600,85.308838,27.82936,-19.44
2026-08-26_1600,85.220947,27.790491,-10.01
2026-08-26_1600,85.814209,27.751607,10.5
2026-08-26_1600,85.067139,27.790491,-12.68
2026-08-26_1600,85.177002,27.771051,-33.62
2026-08-26_1600,85.484619,27.809927,34.92
2026-08-26_1600,85.198975,27.907058,-48.77
2026-08-26_1600,84.91333,27.82936,-58.65
2026-08-26_1600,85.352783,27.945886,-28.06
2026-08-26_1600,85.726318,27.73216,16.45
2026-08-26_1600,85.704346,27.71271,17.73
2026-08-26_1600,85.550537,27.751607,16.52
2026-08-26_1600,85.330811,27.887639,-24.87
2026-08-26_1600,85.528564,27.84879,11.68
2026-08-26_1600,85.616455,27.82936,15.98
2026-08-26_1600,85.286865,27.790491,16.38
2026-08-26_1600,85.814209,27.771051,11.78
2026-08-26_1600,85.550537,27.73216,14.47
2026-08-26_1600,85.836182,27.71271,16.02
2026-08-26_1600,85.440674,27.9847,55.11
2026-08-26_1600,85.6604,27.965294,16.6
2026-08-26_1600,85.770264,27.790491,22.71
2026-08-26_1600,85.770264,27.751607,19.93
2026-08-26_1600,85.836182,27.751607,13.64
2026-08-26_1600,85.264893,27.809927,40.41
2026-08-26_1600,85.6604,27.887639,18.89
2026-08-26_1600,84.91333,27.945886,11.69
2026-08-26_1600,85.24292,27.809927,10.44
2026-08-26_1600,85.594482,27.790491,24.85
2026-08-26_1600,85.308838,27.868216,-55.81
2026-08-26_1600,85.6604,27.790491,10.42
2026-08-26_1600,85.001221,27.82936,-30.96
2026-08-26_1600,85.133057,27.907058,-52.94
2026-08-26_1600,85.550537,27.887639,11.12
2026-08-26_1600,84.935303,27.926474,10.14
2026-08-26_1600,85.528564,27.926474,17.61
2026-08-26_1600,84.91333,28.0235,27.73
2026-08-26_1600,85.57251,27.907058,35.93
2026-08-26_1600,85.594482,27.84879,13.32
2026-08-26_1600,85.638428,27.945886,14.3
2026-08-26_1600,85.748291,27.73216,14.33
2026-08-26_1600,85.24292,27.771051,10.71
2026-08-26_1600,85.023193,27.809927,-27.68
2026-08-26_1600,85.198975,27.790491,-27.69
2026-08-26_1600,85.198975,27.771051,-11.8
2026-08-26_1600,85.24292,27.84879,-11.18
2026-08-26_1600,85.264893,27.945886,-35.46
2026-08-26_1600,85.220947,27.907058,-50.5
2026-08-26_1600,85.616455,27.84879,15.72
2026-08-26_1600,85.330811,27.945886,-26.83
2026-08-26_1600,84.91333,27.907058,10.96
2026-08-26_1600,85.111084,27.868216,-88.3
2026-08-26_1600,85.155029,27.887639,-76.36
2026-08-26_1600,85.506592,27.809927,17.67
2026-08-26_1600,84.957275,27.809927,-63.29
2026-08-26_1600,85.770264,27.73216,14.25
2026-08-26_1600,85.528564,27.887639,28.49
2026-08-26_1600,85.770264,27.809927,21.98
2026-08-26_1600,85.396729,27.965294,-15.86
2026-08-26_1600,85.748291,27.751607,21.24
2026-08-26_1600,85.528564,27.868216,19.45
2026-08-26_1600,85.264893,27.907058,-45.53
2026-08-26_1600,84.979248,27.809927,-51.72
2026-08-26_1600,85.792236,27.926474,30.32
2026-08-26_1600,85.57251,27.73216,13.88
2026-08-26_1600,85.067139,27.71271,14.92
2026-08-26_1600,85.6604,27.71271,22.68
2026-08-26_1600,85.045166,28.159189,-16.79
2026-08-26_1600,85.616455,27.790491,21.71
2026-08-26_1600,85.286865,27.868216,-37.19
2026-08-26_1600,85.177002,27.926474,-76.51
2026-08-26_1600,85.133057,27.771051,-12.45
2026-08-26_1600,85.286865,28.120438,-72.04
2026-08-26_1600,85.836182,27.73216,13.56
2026-08-26_1600,84.935303,27.907058,16.23
2026-08-26_1600,85.6604,27.771051,11.12
2026-08-26_1600,85.264893,27.887639,-37.64
2026-08-26_1600,85.726318,27.71271,13.45
2026-08-26_1600,84.957275,27.790491,-55.03
2026-08-26_1600,85.57251,27.771051,23.49
2026-08-26_1600,85.286865,27.926474,-24.32
2026-08-26_1600,85.308838,27.926474,-19.75
2026-08-26_1600,85.023193,27.751607,10.48
2026-08-26_1600,85.111084,27.926474,-65.71
2026-08-26_1600,85.528564,27.945886,13.08
2026-08-26_1600,85.330811,27.926474,-25.1
2026-08-26_1600,85.133057,27.945886,-78.54
2026-08-26_1600,85.770264,27.771051,10.5
2026-08-26_1600,85.792236,27.965294,18.58
2026-08-26_1600,84.91333,27.809927,-66.94
2026-08-26_1600,85.264893,27.868216,-23.91
2026-08-26_1600,85.133057,27.868216,-84.02
2026-08-26_1600,85.330811,27.82936,-24.51
2026-08-26_1600,85.24292,27.907058,-53.77
2026-08-26_1600,85.264893,27.84879,-22.21
2026-08-26_1600,85.57251,27.751607,17.23
2026-08-26_1600,85.682373,27.73216,11.21
2026-08-26_1600,85.198975,27.926474,-73.16
2026-08-26_1600,85.308838,27.84879,-57.75
2026-08-26_1600,85.308838,27.790491,10.4
2026-08-26_1600,85.616455,27.771051,13.49
2026-08-26_1600,85.550537,27.771051,13.89
2026-08-26_1600,85.594482,27.751607,11.08
2026-08-26_1600,85.155029,27.771051,-28.77
2026-08-26_1600,85.484619,27.82936,42.89
2026-08-26_1600,85.836182,27.771051,23.04
2026-08-26_1600,85.550537,27.71271,14.99
2026-08-26_1600,85.748291,27.809927,11.33
2026-08-26_1600,85.418701,27.926474,-12.16
2026-08-26_1600,85.682373,27.926474,31.82
2026-08-26_1600,85.528564,27.907058,16.29
2026-08-26_1600,85.155029,27.868216,-80.13
2026-08-26_1600,85.220947,27.926474,-61.8
2026-08-26_1600,85.330811,27.907058,-17.92
2026-08-26_1600,85.308838,27.887639,-40.32
2026-08-26_1600,85.792236,27.809927,36.81
2026-08-26_1600,85.24292,27.868216,-30.76
2026-08-26_1600,85.638428,27.907058,22.81
2026-08-26_1600,85.57251,27.71271,11.85
2026-08-26_1600,84.935303,27.945886,28.42
2026-08-26_1600,85.462646,27.82936,13.63
2026-08-27_0000,84.91333,27.809927,-63.91
2026-08-27_0000,85.418701,27.907058,15.64
2026-08-27_0000,85.111084,27.887639,-44.76
2026-08-27_0000,85.089111,27.82936,-36.08
2026-08-27_0000,84.935303,28.062286,-22.64
2026-08-27_0000,84.935303,27.809927,-75.11
2026-08-27_0000,85.111084,27.751607,-10.52
2026-08-27_0000,85.528564,27.82936,11.77
2026-08-27_0000,85.638428,27.771051,27.96
2026-08-27_0000,85.198975,27.926474,-56.34
2026-08-27_0000,85.001221,28.042894,-23.77
2026-08-27_0000,85.616455,27.84879,-12.68
2026-08-27_0000,85.528564,27.887639,26.05
2026-08-27_0000,85.286865,27.887639,-15.18
2026-08-27_0000,85.133057,27.887639,-22.98
2026-08-27_0000,85.133057,27.84879,-50.26
2026-08-27_0000,85.506592,27.84879,17.48
2026-08-27_0000,85.506592,27.790491,12.32
2026-08-27_0000,85.220947,27.84879,-19.52
2026-08-27_0000,85.133057,27.945886,-76.39
2026-08-27_0000,85.330811,27.887639,-18.25
2026-08-27_0000,85.045166,27.790491,13.37
2026-08-27_0000,85.770264,27.809927,10.44
2026-08-27_0000,85.308838,28.101058,-54.01
2026-08-27_0000,85.001221,27.771051,14.86
2026-08-27_0000,85.6604,27.9847,56.02
2026-08-27_0000,85.528564,27.868216,12.25
2026-08-27_0000,85.264893,27.907058,-32.6
2026-08-27_0000,85.396729,27.926474,11.81
2026-08-27_0000,85.220947,27.926474,-60.85
2026-08-27_0000,85.067139,27.82936,-27.75
2026-08-27_0000,85.155029,27.809927,-21.06
2026-08-27_0000,85.111084,27.926474,-59.54
2026-08-27_0000,85.24292,27.790491,11.5
2026-08-27_0000,85.24292,27.868216,-17.71
2026-08-27_0000,85.067139,27.84879,-68.28
2026-08-27_0000,85.24292,27.907058,-42.05
2026-08-27_0000,85.177002,27.945886,-78.92
2026-08-27_0000,85.111084,27.907058,-40.39
2026-08-27_0000,85.264893,27.887639,-27.13
2026-08-27_0000,85.111084,27.82936,-60.16
2026-08-27_0000,85.352783,27.809927,1932.22
2026-08-27_0000,85.484619,27.82936,28.44
2026-08-27_0000,85.286865,27.907058,-14.48
2026-08-27_0000,85.770264,27.82936,13.93
2026-08-27_0000,85.616455,27.926474,21.4
2026-08-27_0000,85.396729,27.907058,16.93
2026-08-27_0000,85.111084,27.809927,-28.58
2026-08-27_0000,85.792236,27.82936,31.86
2026-08-27_0000,85.023193,28.0235,-62.27
2026-08-27_0000,85.638428,27.965294,-13.92
2026-08-27_0000,85.330811,27.945886,-12.38
2026-08-27_0000,85.155029,27.82936,-31.13
2026-08-27_0000,85.001221,27.790491,17.11
2026-08-27_0000,85.089111,27.887639,-67.82
2026-08-27_0000,85.308838,27.907058,-14.63
2026-08-27_0000,84.91333,27.82936,-61.32
2026-08-27_0000,84.979248,27.809927,-43.11
2026-08-27_0000,85.308838,27.945886,-25.37
2026-08-27_0000,85.177002,27.907058,-20.31
2026-08-27_0000,85.748291,27.73216,14.27
2026-08-27_0000,85.286865,28.139815,-59.56
2026-08-27_0000,85.748291,27.751607,14.66
2026-08-27_0000,85.594482,27.771051,12.94
2026-08-27_0000,85.198975,27.887639,-10.42
