lon,lat,2026-08-26_0000,2026-08-26_0800,2026-08-26_1600,2026-08-27_0000,2026-08-27_0800,2026-08-27_1600,2026-08-28_0000,2026-08-28_0800,2026-08-28_1600,2026-08-29_0000,2026-08-29_0800,2026-08-29_1600,2026-08-30_0000,2026-08-30_0800,2026-08-30_1600,2026-08-31_0000,2026-08-31_0800,2026-08-31_1600,2026-09-01_0000,2026-09-01_0800,2026-09-01_1600,2026-09-02_0000,2026-09-02_0800,2026-09-02_1600,2026-09-03_0000,2026-09-03_0800,2026-09-03_1600,2026-09-04_0000,2026-09-04_0800,2026-09-04_1600,2026-09-05_0000,2026-09-05_0800,2026-09-05_1600,2026-09-06_0000,2026-09-06_0800,2026-09-06_1600
85.045166,28.004101,,,,,,,,,,,,,-17.29,,,21.87,19.37,40.09,15.22,,,25.51,,48.56,22.8,13.85,27.28,,13.79,14.92,,,31.77,11.81,,14.02
85.045166,28.0235,,,,,,,,,,,,,,,,,,,,,,19.42,,21.17,15.24,,,,,,,,,,,
85.045166,28.159189,,,-16.79,-19.69,,11.36,-20.39,,,12.7,,,-26.14,,-12.56,,,,,,,,,,-16.48,,12.85,-26.67,,-16.11,-11.8,,,-22.41,,-10.72
85.067139,27.71271,13.34,15.48,14.92,,,,,,14.14,,,,12.07,11.43,,,,-29.95,,-20.38,,,,,,-17.38,,,-13.87,-19.69,,-14.06,-12.8,12.89,,
85.067139,27.73216,,,,,,,,,,,-10.99,,,-13.32,,,-38.36,-21.72,,-23.22,,,-19.66,,,-15.83,,,,-11.08,,-17.66,-12.68,,-31.53,
85.067139,27.751607,17.15,,,,,,,,,,-12.86,,,,,,-27.35,,,-23.77,,,-12.82,,,-14.25,,-12.73,-11.09,,,-15.58,,-10.42,-27.78,
85.067139,27.771051,,-16.81,,,,,,,,,-18.13,,,-12.93,,,-32.36,,,-28.88,-10.25,-10.22,-20.09,,,-18.67,,,-16.49,,,-21.58,-11.31,-13.42,-26.98,-10.18
85.067139,27.790491,,,-12.68,,,,17.18,,13.18,,-17.59,,,-11.27,,,,,-10.04,-20.4,,,-15.14,,,-11.4,10.57,,-19.13,,,,-11.78,-12.58,,-18.58
85.067139,27.809927,,,,,,,18.58,,18.52,,,,,,,13.15,,-20.45,,,,,,,10.33,,34.93,34.18,-14.37,12.77,17.04,,,-15.04,,-11.83
85.067139,27.82936,,,,-27.75,,,12.25,,,,-12.49,,,,,,-36.84,-26.02,,-14.38,,,,,10.37,,,,,,,-11.82,,,-24.73,
85.067139,27.84879,-81.25,,,-68.28,-49.99,-49.84,-27.12,-28.06,-18.35,-26.03,-38.19,-20.57,-20.8,-26.75,-24.3,-30.64,-49.38,-38.46,-36.22,-29.35,-26.85,-23.43,-23.54,-24.67,,-13.1,-14.95,-13.99,,-16.25,-15.32,-14.61,-12.99,-22.96,-18.02,-16.92
